geo_acc cell_line subgroup_id group_id
GSM4928577 LuCaP 136 136
GSM4928578 LuCaP 141 141
GSM4928579 LuCaP 145.1 145
GSM4928580 LuCaP 145.2 145
GSM4928582 LuCaP 167 167
GSM4928583 LuCaP 170.2 170
GSM4928584 LuCaP 170.3 170
GSM4928585 LuCaP 173.1 173
GSM4928586 LuCaP 173.2 173
GSM4928587 LuCaP 176 176
GSM4928588 LuCaP 189.3 189
GSM4928589 LuCaP 189.4 189
GSM4928590 LuCaP 208.1 208
GSM4928591 LuCaP 35 35
GSM4928592 LuCaP 49 49
GSM4928593 LuCaP 58 58
GSM4928595 LuCaP 70 70
GSM4928597 LuCaP 77 77
GSM4928599 LuCaP 78 78
GSM4928601 LuCaP 81 81
GSM4928602 LuCaP 86.2 86
GSM4928603 LuCaP 92 92
GSM4928604 LuCaP 93 93
