sample,status,sample_formatted
AR_PDX_136,tumor,UW_PDX_136
AR_PDX_141,tumor,UW_PDX_141
AR_PDX_167,tumor,UW_PDX_167
AR_PDX_170_2,tumor,UW_PDX_170_2
AR_PDX_170_3,tumor,UW_PDX_170_3
AR_PDX_189_3,tumor,UW_PDX_189_3
AR_PDX_189_4,tumor,UW_PDX_189_4
AR_PDX_35,tumor,UW_PDX_35
AR_PDX_58,tumor,UW_PDX_58
AR_PDX_70,tumor,UW_PDX_70
AR_PDX_77,tumor,UW_PDX_77
AR_PDX_78,tumor,UW_PDX_78
AR_PDX_81,tumor,UW_PDX_81
AR_PDX_86_2,tumor,UW_PDX_86_2
AR_PDX_92,tumor,UW_PDX_92
DF_AR_1239T,tumor,DFCI_1239
DF_AR_1592T,tumor,DFCI_1592
DF_AR_1636T,tumor,DFCI_1636
DF_AR_1730T,tumor,DFCI_1730
DF_AR_1798T,tumor,DFCI_1798
DF_AR_1816T,tumor,DFCI_1816
DF_AR_1853T,tumor,DFCI_1853
DF_AR_2752T,tumor,DFCI_2752
DF_AR_2815T,tumor,DFCI_2815
DF_AR_4024T,tumor,DFCI_4024
NKI_1_AR_Healthy,healthy,NKI_1
NKI_1_AR_Tumor,tumor,NKI_1T
NKI_13_AR_Healthy,healthy,NKI_13
NKI_13_AR_Tumor,tumor,NKI_13T
NKI_19_AR_Healthy,healthy,NKI_19
NKI_19_AR_Tumor,tumor,NKI_19T
NKI_23_AR_Healthy,healthy,NKI_23
NKI_23_AR_Tumor,tumor,NKI_23T
NKI_25_AR_Healthy_rep1,healthy,NKI_25
NKI_25_AR_Healthy_rep2,healthy,NKI_25
NKI_27_AR_Healthy,healthy,NKI_27
NKI_27_AR_Tumor,tumor,NKI_27T
NKI_29_AR_Healthy,healthy,NKI_29
NKI_29_AR_Tumor,tumor,NKI_29T
NKI_5_AR_Healthy,healthy,NKI_5
NKI_5_AR_Tumor,tumor,NKI_5T
NKI_7_AR_Healthy,healthy,NKI_7
NKI_7_AR_Tumor,tumor,NKI_7T
P223T_AR_1,tumor,NKI_P223T
P227T_AR_1,tumor,NKI_P227T
P228T_AR_1,tumor,NKI_P228T
P229T_AR_1,tumor,NKI_P229T
P230T_AR_1,tumor,NKI_P230T
P249T_AR_1,tumor,NKI_P249T
P252T_AR_1,tumor,NKI_P252T
P254T_AR_1,tumor,NKI_P254T
P255T_AR_1,tumor,NKI_P255T
P257T_AR_1,tumor,NKI_P257T
P261T_AR_1,tumor,NKI_P261T
P262T_AR_1,tumor,NKI_P262T
P263T_AR_1,tumor,NKI_P263T
P265T_AR_1,tumor,NKI_P265T
P266T_AR_1,tumor,NKI_P266T
P268T_AR_1,tumor,NKI_P268T
P272T_AR_1,tumor,NKI_P272T
P274T_AR_1,tumor,NKI_P274T
P276T_AR_1,tumor,NKI_P276T
P279T_AR_1,tumor,NKI_P279T
P280T_AR_1,tumor,NKI_P280T
P291T_AR_1,tumor,NKI_P291T
P294T_AR_1,tumor,NKI_P294T
P295T_AR_1,tumor,NKI_P295T
P297T_AR_1,tumor,NKI_P297T
P298T_AR_1,tumor,NKI_P298T
P300T_AR_1,tumor,NKI_P300T
