tf	tissue	model	path
AR	Prostate	AR_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/AR_Prostate/AR_Prostate_2025-04-24.logistic.rds
CTCF	Blood	CTCF_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Blood/CTCF_Blood_2025-04-24.logistic.rds
CTCF	BoneMarrow	CTCF_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_BoneMarrow/CTCF_BoneMarrow_2025-04-24.logistic.rds
CTCF	Brain	CTCF_Brain	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Brain/CTCF_Brain_2025-04-24.logistic.rds
CTCF	Breast	CTCF_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Breast/CTCF_Breast_2025-04-24.logistic.rds
CTCF	Colon	CTCF_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Colon/CTCF_Colon_2025-04-24.logistic.rds
CTCF	Embryo	CTCF_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Embryo/CTCF_Embryo_2025-04-24.logistic.rds
CTCF	EmbryonicKidney	CTCF_EmbryonicKidney	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_EmbryonicKidney/CTCF_EmbryonicKidney_2025-04-24.logistic.rds
CTCF	Liver	CTCF_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Liver/CTCF_Liver_2025-04-24.logistic.rds
CTCF	Lung	CTCF_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Lung/CTCF_Lung_2025-04-24.logistic.rds
CTCF	MammaryGland	CTCF_MammaryGland	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_MammaryGland/CTCF_MammaryGland_2025-04-24.logistic.rds
CTCF	Skin	CTCF_Skin	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_Skin/CTCF_Skin_2025-04-24.logistic.rds
CTCF	UmbilicalVein	CTCF_UmbilicalVein	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/CTCF_UmbilicalVein/CTCF_UmbilicalVein_2025-04-24.logistic.rds
E2F1	Prostate	E2F1_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/E2F1_Prostate/E2F1_Prostate_2025-04-24.logistic.rds
ERG	Prostate	ERG_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/ERG_Prostate/ERG_Prostate_2025-04-24.logistic.rds
ESR1	Breast	ESR1_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/ESR1_Breast/ESR1_Breast_2025-04-24.logistic.rds
ESR1	MammaryGland	ESR1_MammaryGland	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/ESR1_MammaryGland/ESR1_MammaryGland_2025-04-24.logistic.rds
FOSL2	Lung	FOSL2_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/FOSL2_Lung/FOSL2_Lung_2025-04-24.logistic.rds
FOXA1	Breast	FOXA1_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/FOXA1_Breast/FOXA1_Breast_2025-04-24.logistic.rds
FOXA1	MammaryGland	FOXA1_MammaryGland	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/FOXA1_MammaryGland/FOXA1_MammaryGland_2025-04-24.logistic.rds
FOXA1	Prostate	FOXA1_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/FOXA1_Prostate/FOXA1_Prostate_2025-04-24.logistic.rds
FOXA2	Skin	FOXA2_Skin	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/FOXA2_Skin/FOXA2_Skin_2025-04-24.logistic.rds
FOXM1	Breast	FOXM1_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/FOXM1_Breast/FOXM1_Breast_2025-04-24.logistic.rds
GATA1	BoneMarrow	GATA1_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/GATA1_BoneMarrow/GATA1_BoneMarrow_2025-04-24.logistic.rds
GATA2	BoneMarrow	GATA2_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/GATA2_BoneMarrow/GATA2_BoneMarrow_2025-04-24.logistic.rds
GATA2	Prostate	GATA2_Prostate	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/GATA2_Prostate/GATA2_Prostate_2025-04-24.logistic.rds
GATA3	Breast	GATA3_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/GATA3_Breast/GATA3_Breast_2025-04-24.logistic.rds
GATA3	MammaryGland	GATA3_MammaryGland	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/GATA3_MammaryGland/GATA3_MammaryGland_2025-04-24.logistic.rds
GATA4	Embryo	GATA4_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/GATA4_Embryo/GATA4_Embryo_2025-04-24.logistic.rds
