Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
12	:	1684426659.526	     0.099	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P433T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
10	:	1684426659.523	     0.105	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P779T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
2	:	1684426659.511	     0.119	0	101	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_13_AR_Healthy.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
3	:	1684426659.512	     0.118	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P309T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
6	:	1684426659.517	     0.117	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P730T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
8	:	1684426659.520	     0.114	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P593T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
5	:	1684426659.516	     0.132	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P252T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
11	:	1684426659.524	     0.127	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P297T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
16	:	1684426659.634	     0.031	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P328T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
1	:	1684426659.510	     0.164	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P509T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
19	:	1684426659.651	     0.026	0	101	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_29_AR_Healthy.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
17	:	1684426659.636	     0.042	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P257T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
20	:	1684426659.653	     0.026	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P291T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
21	:	1684426659.668	     0.030	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P710T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
9	:	1684426659.522	     0.179	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P618T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
18	:	1684426659.637	     0.067	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P268T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
7	:	1684426659.519	     0.190	0	111	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_25_AR_Healthy_rep2.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
15	:	1684426659.632	     0.085	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P462T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
25	:	1684426659.682	     0.037	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P449T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
23	:	1684426659.678	     0.042	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P300T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
26	:	1684426659.700	     0.024	0	99	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_5_AR_Healthy.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
27	:	1684426659.703	     0.029	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P506T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
4	:	1684426659.514	     0.222	0	97	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_23_AR_Tumor.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
29	:	1684426659.711	     0.029	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P747T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
30	:	1684426659.718	     0.026	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P355T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
24	:	1684426659.680	     0.075	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P230T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
31	:	1684426659.720	     0.036	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P342T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
28	:	1684426659.707	     0.052	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P540T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
34	:	1684426659.733	     0.029	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P265T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
32	:	1684426659.723	     0.042	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P294T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
37	:	1684426659.746	     0.023	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P349T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
14	:	1684426659.630	     0.151	0	91	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/AR_PDX_189_4.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
38	:	1684426659.757	     0.029	0	99	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_7_AR_Healthy.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
35	:	1684426659.737	     0.053	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P305T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
39	:	1684426659.759	     0.043	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P500T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
41	:	1684426659.764	     0.042	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P464T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
42	:	1684426659.767	     0.041	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P680T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
36	:	1684426659.742	     0.073	0	89	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/DF_AR_1853T.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
22	:	1684426659.675	     0.141	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P427T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
13	:	1684426659.628	     0.190	0	89	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/DF_AR_4024T.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
33	:	1684426659.726	     0.095	0	95	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/NKI_7_AR_Tumor.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
49	:	1684426659.810	     0.026	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P544T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
47	:	1684426659.805	     0.031	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P336T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
51	:	1684426659.819	     0.023	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P475T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
48	:	1684426659.808	     0.036	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P223T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
44	:	1684426659.783	     0.065	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P301T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
52	:	1684426659.820	     0.036	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P832T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
57	:	1684426659.846	     0.025	0	87	0	0	lift_hg19_hg38 /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed/P531T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/users/temi/software/liftOver /lus/grand/projects/covid-ct/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38
