Working directory is /lus/grand/projects/TFXcan/imlab/users/temi/projects/TFXcan/scripts/manipulate_bed

INFO - running P309T_AR_1

INFO - finished P309T_AR_1

INFO - running NKI_13_AR_Healthy

INFO - finished NKI_13_AR_Healthy

INFO - running P433T_AR_1

INFO - finished P433T_AR_1

INFO - running P779T_AR_1

INFO - finished P779T_AR_1

INFO - running P730T_AR_1

INFO - finished P730T_AR_1

INFO - running P252T_AR_1

INFO - finished P252T_AR_1

INFO - running P328T_AR_1

INFO - finished P328T_AR_1

INFO - running P593T_AR_1

INFO - finished P593T_AR_1

INFO - running P297T_AR_1

INFO - finished P297T_AR_1

INFO - running P291T_AR_1

INFO - finished P291T_AR_1

INFO - running NKI_29_AR_Healthy

INFO - finished NKI_29_AR_Healthy

INFO - running P509T_AR_1

INFO - finished P509T_AR_1

INFO - running P257T_AR_1

INFO - finished P257T_AR_1

INFO - running P710T_AR_1

INFO - finished P710T_AR_1

INFO - running NKI_5_AR_Healthy

INFO - finished NKI_5_AR_Healthy

INFO - running P449T_AR_1

INFO - finished P449T_AR_1

INFO - running P300T_AR_1

INFO - finished P300T_AR_1

INFO - running P268T_AR_1

INFO - finished P268T_AR_1

INFO - running P462T_AR_1

INFO - finished P462T_AR_1

INFO - running P506T_AR_1

INFO - finished P506T_AR_1

INFO - running P355T_AR_1

INFO - finished P355T_AR_1

INFO - running P618T_AR_1

INFO - finished P618T_AR_1

INFO - running P747T_AR_1

INFO - finished P747T_AR_1

INFO - running NKI_25_AR_Healthy_rep2

INFO - finished NKI_25_AR_Healthy_rep2

INFO - running P342T_AR_1

INFO - finished P342T_AR_1

INFO - running P265T_AR_1

INFO - finished P265T_AR_1

INFO - running P349T_AR_1

INFO - finished P349T_AR_1

INFO - running NKI_7_AR_Healthy

INFO - finished NKI_7_AR_Healthy

INFO - running P540T_AR_1

INFO - finished P540T_AR_1

INFO - running P230T_AR_1

INFO - finished P230T_AR_1

INFO - running P294T_AR_1

INFO - finished P294T_AR_1

INFO - running NKI_23_AR_Tumor

INFO - finished NKI_23_AR_Tumor

INFO - running P500T_AR_1

INFO - finished P500T_AR_1

INFO - running P464T_AR_1

INFO - finished P464T_AR_1

INFO - running P680T_AR_1

INFO - finished P680T_AR_1

INFO - running P305T_AR_1

INFO - finished P305T_AR_1

INFO - running DF_AR_1853T

INFO - finished DF_AR_1853T

INFO - running P336T_AR_1

INFO - finished P336T_AR_1

INFO - running AR_PDX_189_4

INFO - finished AR_PDX_189_4

INFO - running NKI_7_AR_Tumor

INFO - finished NKI_7_AR_Tumor

INFO - running P475T_AR_1

INFO - finished P475T_AR_1

INFO - running P544T_AR_1

INFO - finished P544T_AR_1

INFO - running P223T_AR_1

INFO - finished P223T_AR_1

INFO - running P832T_AR_1

INFO - finished P832T_AR_1

INFO - running P427T_AR_1

INFO - finished P427T_AR_1

INFO - running P301T_AR_1

INFO - finished P301T_AR_1

INFO - running DF_AR_4024T

INFO - finished DF_AR_4024T

INFO - running P531T_AR_1

INFO - finished P531T_AR_1

INFO - running NKI_27_AR_Healthy

INFO - finished NKI_27_AR_Healthy

INFO - running P695T_AR_1

INFO - finished P695T_AR_1

INFO - running AR_PDX_136

INFO - finished AR_PDX_136

INFO - running P327T_AR_1

INFO - finished P327T_AR_1

INFO - running P450T_AR_1

INFO - finished P450T_AR_1

INFO - running P279T_AR_1

INFO - finished P279T_AR_1

INFO - running P313T_AR_1

INFO - finished P313T_AR_1

INFO - running P254T_AR_1

INFO - finished P254T_AR_1

INFO - running P555T_AR_1

INFO - finished P555T_AR_1

INFO - running P227T_AR_1

INFO - finished P227T_AR_1

INFO - running P272T_AR_1

INFO - finished P272T_AR_1

INFO - running NKI_1_AR_Healthy

INFO - finished NKI_1_AR_Healthy

INFO - running P310T_AR_1

INFO - finished P310T_AR_1

INFO - running P295T_AR_1

INFO - finished P295T_AR_1

INFO - running P431T_AR_1

INFO - finished P431T_AR_1

INFO - running DF_AR_1730T

INFO - finished DF_AR_1730T

INFO - running DF_AR_1798T

INFO - finished DF_AR_1798T

INFO - running P262T_AR_1

INFO - finished P262T_AR_1

INFO - running P511T_AR_1

INFO - finished P511T_AR_1

INFO - running AR_PDX_141

INFO - finished AR_PDX_141

INFO - running P737T_AR_1

INFO - finished P737T_AR_1

INFO - running P280T_AR_1

INFO - finished P280T_AR_1

INFO - running P352T_AR_1

INFO - finished P352T_AR_1

INFO - running DF_AR_1239T

INFO - finished DF_AR_1239T

INFO - running AR_PDX_167

INFO - finished AR_PDX_167

INFO - running P560T_AR_1

INFO - finished P560T_AR_1

INFO - running P603T_AR_1

INFO - finished P603T_AR_1

INFO - running P324T_AR_1

INFO - finished P324T_AR_1

INFO - running DF_AR_1636T

INFO - finished DF_AR_1636T

INFO - running NKI_27_AR_Tumor

INFO - finished NKI_27_AR_Tumor

INFO - running P266T_AR_1

INFO - finished P266T_AR_1

INFO - running P444T_AR_1

INFO - finished P444T_AR_1

INFO - running P452T_AR_1

INFO - finished P452T_AR_1

INFO - running P536T_AR_1

INFO - finished P536T_AR_1

INFO - running AR_PDX_86_2

INFO - finished AR_PDX_86_2

INFO - running AR_PDX_35

INFO - finished AR_PDX_35

INFO - running DF_AR_1592T

INFO - finished DF_AR_1592T

INFO - running NKI_25_AR_Healthy_rep1

INFO - finished NKI_25_AR_Healthy_rep1

INFO - running P534T_AR_1

INFO - finished P534T_AR_1

INFO - running P263T_AR_1

INFO - finished P263T_AR_1

INFO - running P255T_AR_1

INFO - finished P255T_AR_1

INFO - running P717T_AR_1

INFO - finished P717T_AR_1

INFO - running P426T_AR_1

INFO - finished P426T_AR_1

INFO - running P456T_AR_1

INFO - finished P456T_AR_1

INFO - running AR_PDX_81

INFO - finished AR_PDX_81

INFO - running AR_PDX_170_3

INFO - finished AR_PDX_170_3

INFO - running P261T_AR_1

INFO - finished P261T_AR_1

INFO - running P276T_AR_1

INFO - finished P276T_AR_1

INFO - running P348T_AR_1

INFO - finished P348T_AR_1

INFO - running P343T_AR_1

INFO - finished P343T_AR_1

INFO - running P249T_AR_1

INFO - finished P249T_AR_1

INFO - running NKI_19_AR_Healthy

INFO - finished NKI_19_AR_Healthy

INFO - running P507T_AR_1

INFO - finished P507T_AR_1

INFO - running P274T_AR_1

INFO - finished P274T_AR_1

INFO - running NKI_29_AR_Tumor

INFO - finished NKI_29_AR_Tumor

INFO - running AR_PDX_92

INFO - finished AR_PDX_92

INFO - running P513T_AR_1

INFO - finished P513T_AR_1

INFO - running AR_PDX_58

INFO - finished AR_PDX_58

INFO - running P643T_AR_1

INFO - finished P643T_AR_1

INFO - running AR_PDX_70

INFO - finished AR_PDX_70

INFO - running P466T_AR_1

INFO - finished P466T_AR_1

INFO - running P674T_AR_1

INFO - finished P674T_AR_1

INFO - running DF_AR_2815T

INFO - finished DF_AR_2815T

INFO - running NKI_5_AR_Tumor

INFO - finished NKI_5_AR_Tumor

INFO - running P298T_AR_1

INFO - finished P298T_AR_1

INFO - running DF_AR_1816T

INFO - finished DF_AR_1816T

INFO - running NKI_13_AR_Tumor

INFO - finished NKI_13_AR_Tumor

INFO - running P559T_AR_1

INFO - finished P559T_AR_1

INFO - running P533T_AR_1

INFO - finished P533T_AR_1

INFO - running P416T_AR_1

INFO - finished P416T_AR_1

INFO - running NKI_23_AR_Healthy

INFO - finished NKI_23_AR_Healthy

INFO - running P527T_AR_1

INFO - finished P527T_AR_1

INFO - running P811T_AR_1

INFO - finished P811T_AR_1

INFO - running NKI_19_AR_Tumor

INFO - finished NKI_19_AR_Tumor

INFO - running AR_PDX_170_2

INFO - finished AR_PDX_170_2

INFO - running P552T_AR_1

INFO - finished P552T_AR_1

INFO - running P229T_AR_1

INFO - finished P229T_AR_1

INFO - running P228T_AR_1

INFO - finished P228T_AR_1

INFO - running AR_PDX_78

INFO - finished AR_PDX_78

INFO - running NKI_1_AR_Tumor

INFO - finished NKI_1_AR_Tumor

INFO - running AR_PDX_189_3

INFO - finished AR_PDX_189_3

INFO - running AR_PDX_77

INFO - finished AR_PDX_77

INFO - running DF_AR_2752T

INFO - finished DF_AR_2752T
