Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1684427965.597	     0.015	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P309T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
2	:	1684427965.595	     0.017	0	69	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/NKI_13_AR_Healthy.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
12	:	1684427965.610	     0.012	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P433T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
10	:	1684427965.607	     0.021	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P779T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
6	:	1684427965.602	     0.046	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P730T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
5	:	1684427965.600	     0.051	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P252T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
16	:	1684427965.630	     0.023	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P328T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
8	:	1684427965.604	     0.049	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P593T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
11	:	1684427965.609	     0.054	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P297T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
20	:	1684427965.656	     0.018	0	55	0	0	sortbed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/liftover_hg38/P291T_AR_1.sorted.bed /lus/grand/projects/TFXcan/imlab/data/baca_cwas/sorted_bed_hg38
