Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1684247371.000	    14.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 1 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
2	:	1684247372.000	    14.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 2 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
3	:	1684247385.000	    12.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 3 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
4	:	1684247386.000	    13.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 4 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
5	:	1684247397.000	    11.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 5 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
6	:	1684247399.000	    12.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 6 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
7	:	1684247408.000	    11.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 7 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
8	:	1684247411.000	    10.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 8 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
9	:	1684247419.000	     8.000	0	125	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 9 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
10	:	1684247421.000	     9.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 10 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
11	:	1684247427.000	     9.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 11 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
12	:	1684247430.000	     9.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 12 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
13	:	1684247436.000	     7.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 13 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
14	:	1684247439.000	     6.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 14 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
15	:	1684247443.000	     5.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 15 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
16	:	1684247445.000	     6.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 16 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
17	:	1684247448.000	     5.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 17 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
18	:	1684247451.000	     5.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 18 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
19	:	1684247453.000	     4.000	0	128	0	0	srun --exclusive -N1 -n1 --cpus-per-task 4 /beagle3/haky/users/temi/projects/TFXcan/scripts/manipulate_vcfs/vcf_utils.sh split_vcf_per_chromosome 19 /beagle3/haky/data/CWAS/merged/merged_cwas_genotypes_chrRenamed.vcf.gz /beagle3/haky/data/CWAS/split_vcf
