id	bed	vcf	status
DF_AR_1239_T	DF_AR_1239T	DFCI_1239	tumor
DF_AR_1592_T	DF_AR_1592T	DFCI_1592	tumor
DF_AR_1636_T	DF_AR_1636T	DFCI_1636	tumor
DF_AR_1730_T	DF_AR_1730T	DFCI_1730	tumor
DF_AR_1798_T	DF_AR_1798T	DFCI_1798	tumor
DF_AR_1816_T	DF_AR_1816T	DFCI_1816	tumor
DF_AR_1853_T	DF_AR_1853T	DFCI_1853	tumor
DF_AR_2752_T	DF_AR_2752T	DFCI_2752	tumor
DF_AR_2815_T	DF_AR_2815T	DFCI_2815	tumor
DF_AR_4024_T	DF_AR_4024T	DFCI_4024	tumor
NKI_13_AR_Healthy	NKI_13_AR_Healthy	NKI_13	healthy
NKI_13_AR_Tumor	NKI_13_AR_Tumor	NKI_13	tumor
NKI_19_AR_Healthy	NKI_19_AR_Healthy	NKI_19	healthy
NKI_19_AR_Tumor	NKI_19_AR_Tumor	NKI_19	tumor
NKI_1_AR_Healthy	NKI_1_AR_Healthy	NKI_1	healthy
NKI_1_AR_Tumor	NKI_1_AR_Tumor	NKI_1	tumor
NKI_23_AR_Healthy	NKI_23_AR_Healthy	NKI_23	healthy
NKI_23_AR_Tumor	NKI_23_AR_Tumor	NKI_23	tumor
NKI_25_AR_Healthy_rep1	NKI_25_AR_Healthy_rep1	NKI_25	healthy
NKI_25_AR_Healthy_rep2	NKI_25_AR_Healthy_rep2	NKI_25	healthy
NKI_27_AR_Healthy	NKI_27_AR_Healthy	NKI_27	healthy
NKI_27_AR_Tumor	NKI_27_AR_Tumor	NKI_27	tumor
NKI_29_AR_Healthy	NKI_29_AR_Healthy	NKI_29	healthy
NKI_29_AR_Tumor	NKI_29_AR_Tumor	NKI_29	tumor
NKI_5_AR_Healthy	NKI_5_AR_Healthy	NKI_5	healthy
NKI_5_AR_Tumor	NKI_5_AR_Tumor	NKI_5	tumor
NKI_7_AR_Healthy	NKI_7_AR_Healthy	NKI_7	healthy
NKI_7_AR_Tumor	NKI_7_AR_Tumor	NKI_7	tumor
P223T_AR_1	P223T_AR_1	NKI_P223T	tumor
P227T_AR_1	P227T_AR_1	NKI_P227T	tumor
P228T_AR_1	P228T_AR_1	NKI_P228T	tumor
P229T_AR_1	P229T_AR_1	NKI_P229T	tumor
P230T_AR_1	P230T_AR_1	NKI_P230T	tumor
P249T_AR_1	P249T_AR_1	NKI_P249T	tumor
P252T_AR_1	P252T_AR_1	NKI_P252T	tumor
P254T_AR_1	P254T_AR_1	NKI_P254T	tumor
P255T_AR_1	P255T_AR_1	NKI_P255T	tumor
P257T_AR_1	P257T_AR_1	NKI_P257T	tumor
P261T_AR_1	P261T_AR_1	NKI_P261T	tumor
P262T_AR_1	P262T_AR_1	NKI_P262T	tumor
P263T_AR_1	P263T_AR_1	NKI_P263T	tumor
P265T_AR_1	P265T_AR_1	NKI_P265T	tumor
P266T_AR_1	P266T_AR_1	NKI_P266T	tumor
P268T_AR_1	P268T_AR_1	NKI_P268T	tumor
P272T_AR_1	P272T_AR_1	NKI_P272T	tumor
P274T_AR_1	P274T_AR_1	NKI_P274T	tumor
P276T_AR_1	P276T_AR_1	NKI_P276T	tumor
P279T_AR_1	P279T_AR_1	NKI_P279T	tumor
P280T_AR_1	P280T_AR_1	NKI_P280T	tumor
P291T_AR_1	P291T_AR_1	NKI_P291T	tumor
P294T_AR_1	P294T_AR_1	NKI_P294T	tumor
P295T_AR_1	P295T_AR_1	NKI_P295T	tumor
P297T_AR_1	P297T_AR_1	NKI_P297T	tumor
P298T_AR_1	P298T_AR_1	NKI_P298T	tumor
P300T_AR_1	P300T_AR_1	NKI_P300T	tumor
P301T_AR_1	P301T_AR_1	NKI_P301T	tumor
P305T_AR_1	P305T_AR_1	NKI_P305T	tumor
P309T_AR_1	P309T_AR_1	NKI_P309T	tumor
P310T_AR_1	P310T_AR_1	NKI_P310T	tumor
P313T_AR_1	P313T_AR_1	NKI_P313T	tumor
P324T_AR_1	P324T_AR_1	NKI_P324T	tumor
