index	identifier	sum_stat	mark	detail	target	assay	feature_names
0	ENCFF833POA	mean	DNASE	cerebellum male adult (27 years) and male adult (35 years)		DNase-seq	f_1
1	ENCFF110QGM	mean	DNASE	frontal cortex male adult (27 years) and male adult (35 years)		DNase-seq	f_2
2	ENCFF880MKD	mean	DNASE	chorion		DNase-seq	f_3
3	ENCFF463ZLQ	mean	DNASE	Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour		DNase-seq	f_4
4	ENCFF890OGQ	mean	DNASE	GM03348		DNase-seq	f_5
5	ENCFF996AEF	mean	DNASE	GM03348 genetically modified using transduction treated with 3 ug/mL doxycycline for 10 days		DNase-seq	f_6
6	ENCFF660YSU	mean	DNASE	AG08395		DNase-seq	f_7
7	ENCFF787MSC	mean	DNASE	AG08396		DNase-seq	f_8
8	ENCFF568LMQ	mean	DNASE	AG20443		DNase-seq	f_9
9	ENCFF685MZL	mean	DNASE	frontal cortex female adult (67 years) and female adult (80 years)		DNase-seq	f_10
10	ENCFF452DLO	mean	DNASE	H54		DNase-seq	f_11
11	ENCFF149TAY	mean	DNASE	GM10248		DNase-seq	f_12
12	ENCFF093VXI	mean	DNASE	GM12878		DNase-seq	f_13
13	ENCFF713YTW	mean	DNASE	GM12891		DNase-seq	f_14
14	ENCFF536IEC	mean	DNASE	GM12892		DNase-seq	f_15
15	ENCFF714ZSE	mean	DNASE	GM18507		DNase-seq	f_16
16	ENCFF385ITM	mean	DNASE	GM19238		DNase-seq	f_17
17	ENCFF919WIT	mean	DNASE	GM19239		DNase-seq	f_18
18	ENCFF814MPK	mean	DNASE	GM19240		DNase-seq	f_19
19	ENCFF153XQL	mean	DNASE	H1-hESC		DNase-seq	f_20
20	ENCFF753SCX	mean	DNASE	H7-hESC		DNase-seq	f_21
21	ENCFF663TLI	mean	DNASE	H9		DNase-seq	f_22
22	ENCFF082SFS	mean	DNASE	heart male adult (27 years) and male adult (35 years)		DNase-seq	f_23
23	ENCFF148BGE	mean	DNASE	HEK293T		DNase-seq	f_24
24	ENCFF422TAV	mean	DNASE	HeLa-S3 treated with interferon alpha for 4 hours		DNase-seq	f_25
25	ENCFF050BDU	mean	DNASE	HeLa-S3		DNase-seq	f_26
26	ENCFF818FXA	mean	DNASE	hepatocyte		DNase-seq	f_27
27	ENCFF136DBS	mean	DNASE	HepG2		DNase-seq	f_28
28	ENCFF284JHO	mean	DNASE	HTR-8/SVneo		DNase-seq	f_29
29	ENCFF305BCB	mean	DNASE	endothelial cell of umbilical vein newborn		DNase-seq	f_30
30	ENCFF015IAT	mean	DNASE	CWRU1 male		DNase-seq	f_31
31	ENCFF565AEK	mean	DNASE	iPS-NIHi11 male adult (71 year) originated from AG20443		DNase-seq	f_32
32	ENCFF637TYS	mean	DNASE	iPS-NIHi7 female adult (85 years) originated from AG08395		DNase-seq	f_33
33	ENCFF899YDP	mean	DNASE	K562 treated with 1 uM vorinostat for 72 hours		DNase-seq	f_34
34	ENCFF515UNC	mean	DNASE	K562 G2 phase		DNase-seq	f_35
35	ENCFF708UIS	mean	DNASE	K562 G1 phase		DNase-seq	f_36
36	ENCFF809IIW	mean	DNASE	LNCaP clone FGC		DNase-seq	f_37
37	ENCFF009NEA	mean	DNASE	LNCaP clone FGC treated with 1 nM 17B-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours		DNase-seq	f_38
38	ENCFF382YNA	mean	DNASE	MCF-7 originated from MCF-7		DNase-seq	f_39
39	ENCFF585BKY	mean	DNASE	medulloblastoma		DNase-seq	f_40
40	ENCFF863UGY	mean	DNASE	epidermal melanocyte		DNase-seq	f_41
41	ENCFF678LXL	mean	DNASE	CD14-positive monocyte female		DNase-seq	f_42
42	ENCFF690MIA	mean	DNASE	keratinocyte female		DNase-seq	f_43
43	ENCFF300IKA	mean	DNASE	osteoblast		DNase-seq	f_44
44	ENCFF927VUO	mean	DNASE	psoas muscle male adult (27 years) and male adult (35 years)		DNase-seq	f_45
45	ENCFF613XPC	mean	DNASE	T47D treated with 10 nM 17B-estradiol for 30 minutes		DNase-seq	f_46
46	ENCFF300QLZ	mean	DNASE	urothelium cell line		DNase-seq	f_47
47	ENCFF688CJL	mean	DNASE	A549		DNase-seq	f_48
48	ENCFF802ZBQ	mean	DNASE	AG04449		DNase-seq	f_49
49	ENCFF882YMD	mean	DNASE	AG04450		DNase-seq	f_50
50	ENCFF160AIM	mean	DNASE	AG09309		DNase-seq	f_51
51	ENCFF294KLB	mean	DNASE	AG09319		DNase-seq	f_52
52	ENCFF211SDO	mean	DNASE	AG10803		DNase-seq	f_53
53	ENCFF869ECL	mean	DNASE	fibroblast of the aortic adventitia female		DNase-seq	f_54
54	ENCFF695WLT	mean	DNASE	BE2C		DNase-seq	f_55
55	ENCFF107IJY	mean	DNASE	BJ		DNase-seq	f_56
56	ENCFF132EIR	mean	DNASE	HS-27A		DNase-seq	f_57
57	ENCFF964WLS	mean	DNASE	HS-5		DNase-seq	f_58
58	ENCFF747REW	mean	DNASE	stromal cell of bone marrow male		DNase-seq	f_59
59	ENCFF085OHV	mean	DNASE	Caco-2		DNase-seq	f_60
60	ENCFF801IWM	mean	DNASE	B cell female adult (43 years)		DNase-seq	f_61
61	ENCFF274MGW	mean	DNASE	hematopoietic multipotent progenitor cell		DNase-seq	f_62
62	ENCFF753ETN	mean	DNASE	naive thymus-derived CD4-positive, alpha-beta T cell male adult (26 years)		DNase-seq	f_63
63	ENCFF391HDR	mean	DNASE	CMK		DNase-seq	f_64
64	ENCFF171BUA	mean	DNASE	GM04503		DNase-seq	f_65
65	ENCFF602PIH	mean	DNASE	GM04504		DNase-seq	f_66
66	ENCFF617HEH	mean	DNASE	GM06990		DNase-seq	f_67
67	ENCFF709TDR	mean	DNASE	GM12864		DNase-seq	f_68
68	ENCFF427FEF	mean	DNASE	GM12865		DNase-seq	f_69
69	ENCFF915DFR	mean	DNASE	GM12878		DNase-seq	f_70
70	ENCFF131HMO	mean	DNASE	H1-hESC		DNase-seq	f_71
71	ENCFF554DWH	mean	DNASE	cardiac mesoderm		DNase-seq	f_72
72	ENCFF274NDO	mean	DNASE	cardiac mesoderm		DNase-seq	f_73
73	ENCFF501KNP	mean	DNASE	cardiac mesoderm		DNase-seq	f_74
74	ENCFF213FJN	mean	DNASE	cardiac mesoderm		DNase-seq	f_75
75	ENCFF696IEW	mean	DNASE	H7-hESC		DNase-seq	f_76
76	ENCFF499UDS	mean	DNASE	astrocyte of the hippocampus		DNase-seq	f_77
77	ENCFF901UBX	mean	DNASE	astrocyte of the spinal cord		DNase-seq	f_78
78	ENCFF382FZE	mean	DNASE	astrocyte of the cerebellum		DNase-seq	f_79
79	ENCFF102UQK	mean	DNASE	amniotic epithelial cell		DNase-seq	f_80
