index	identifier	sum_stat	mark	detail	target	assay	feature_names
0	ENCFF833POA	mean	DNASE	cerebellum male adult (27 years) and male adult (35 years)	NA	DNase-seq	f_0
1	ENCFF110QGM	mean	DNASE	frontal cortex male adult (27 years) and male adult (35 years)	NA	DNase-seq	f_1
2	ENCFF880MKD	mean	DNASE	chorion	NA	DNase-seq	f_2
3	ENCFF463ZLQ	mean	DNASE	Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour	NA	DNase-seq	f_3
4	ENCFF890OGQ	mean	DNASE	GM03348	NA	DNase-seq	f_4
5	ENCFF996AEF	mean	DNASE	GM03348 genetically modified using transduction treated with 3 ug/mL doxycycline for 10 days	NA	DNase-seq	f_5
6	ENCFF660YSU	mean	DNASE	AG08395	NA	DNase-seq	f_6
7	ENCFF787MSC	mean	DNASE	AG08396	NA	DNase-seq	f_7
8	ENCFF568LMQ	mean	DNASE	AG20443	NA	DNase-seq	f_8
9	ENCFF685MZL	mean	DNASE	frontal cortex female adult (67 years) and female adult (80 years)	NA	DNase-seq	f_9
10	ENCFF452DLO	mean	DNASE	H54	NA	DNase-seq	f_10
11	ENCFF149TAY	mean	DNASE	GM10248	NA	DNase-seq	f_11
12	ENCFF093VXI	mean	DNASE	GM12878	NA	DNase-seq	f_12
13	ENCFF713YTW	mean	DNASE	GM12891	NA	DNase-seq	f_13
14	ENCFF536IEC	mean	DNASE	GM12892	NA	DNase-seq	f_14
15	ENCFF714ZSE	mean	DNASE	GM18507	NA	DNase-seq	f_15
16	ENCFF385ITM	mean	DNASE	GM19238	NA	DNase-seq	f_16
17	ENCFF919WIT	mean	DNASE	GM19239	NA	DNase-seq	f_17
18	ENCFF814MPK	mean	DNASE	GM19240	NA	DNase-seq	f_18
19	ENCFF153XQL	mean	DNASE	H1-hESC	NA	DNase-seq	f_19
20	ENCFF753SCX	mean	DNASE	H7-hESC	NA	DNase-seq	f_20
21	ENCFF663TLI	mean	DNASE	H9	NA	DNase-seq	f_21
22	ENCFF082SFS	mean	DNASE	heart male adult (27 years) and male adult (35 years)	NA	DNase-seq	f_22
23	ENCFF148BGE	mean	DNASE	HEK293T	NA	DNase-seq	f_23
24	ENCFF422TAV	mean	DNASE	HeLa-S3 treated with interferon alpha for 4 hours	NA	DNase-seq	f_24
25	ENCFF050BDU	mean	DNASE	HeLa-S3	NA	DNase-seq	f_25
26	ENCFF818FXA	mean	DNASE	hepatocyte	NA	DNase-seq	f_26
27	ENCFF136DBS	mean	DNASE	HepG2	NA	DNase-seq	f_27
28	ENCFF284JHO	mean	DNASE	HTR-8/SVneo	NA	DNase-seq	f_28
