transcription_factor	tissue	motif.pval	open.pval	motif.median_diff	open.median_diff
AR	Breast	9.03999999999999e-259	8.61e-31	6.039	5.642
AR	MammaryGland	4.38e-269	3.01e-31	6.342	5.033
ARNT	BoneMarrow	1.38e-72	6.23e-08	7.837	5.034
ARNT	Breast	4.5e-35	0.000129	1.626	2.517
ARNT	Kidney	6.95e-33	0.0182	7.597	3.591
AR	Prostate	1e-262	2.45e-25	5.509	4.81
ASCL1	Lung	9.92999999999999e-215	1.84e-32	4.794	4.219
ASCL1	Skin	2.38e-28	9.22e-10	2.328	3.067
ATF1	BoneMarrow	4.57e-97	5.1e-07	7.152	4.777
ATF1	Liver	5.32e-54	0.289	8.956	2.921
ATF2	Blood	3.94e-108	8.38e-25	5.464	5.765
ATF2	Colon	3.72e-12	3.04e-05	2.867	2.51
ATF2	Embryo	5.07e-34	4.01e-09	6.881	5.339
ATF3	Blood	6.57e-08	0.0104	8.545	5.226
ATF3	BoneMarrow	8.06e-204	5.45e-26	6.72	4.697
ATF3	Colon	2.05e-239	8.98e-32	6.658	3.754
ATF3	Embryo	2.53e-13	9.77e-05	10.572	7.332
ATF3	Liver	1.87e-68	0.000996	8.408	5.699
ATF3	Lung	6.78e-72	4.06e-33	9.185	8.442
ATF3	Skin	7.11e-67	1.05e-24	9.533	8.746
ATF4	Liver	1.62e-36	0.653	8.136	1.484
BACH1	BoneMarrow	3.64e-27	0.000874	4.685	2.778
BACH1	Embryo	1.33e-22	4.7e-08	3.757	2.797
BACH2	Blood	4.41e-24	1.52e-09	5.03	4.608
BATF	Blood	1.3e-160	8.33e-47	5.885	4.68
BATF	BoneMarrow	1.61e-28	6.4e-07	6.607	6.079
BCL11A	Blood	6.84e-30	2.46e-05	9.094	7.886
BCL6	Blood	9.66e-13	0.000219	6.356	4.543
BCL6	BoneMarrow	7.66e-114	6.33e-09	2.604	3.41
BCL6	Tonsil	3.43e-62	0.00919	7.037	5.237
BHLHE40	Blood	4.95e-60	4.12e-14	5.524	4.348
BHLHE40	BoneMarrow	3.12e-94	0.0155	4.154	1.708
BHLHE40	Liver	2.4e-75	0.122	5.188	1.939
BHLHE40	Lung	1.7e-64	6.88e-08	6.162	4.131
CDX2	Colon	7.64e-134	0.000723	4.685	2.952
CEBPA	Adipose	5.47e-181	0.00153	7.162	2.022
CEBPA	Blood	5.83e-27	1.62e-05	9.104	7.919
CEBPA	Liver	4.58e-297	0.00738	7.508	2.317
CLOCK	Bone	2.28e-25	7.91e-05	4.814	3.409
CLOCK	Colon	1.97e-09	0.0223	6.522	6.245
CREB1	Blood	2.7e-35	1.63e-11	5.704	5.05
CREB1	BoneMarrow	1.24e-26	0.000322	7.179	3.682
CREB1	Colon	2.03e-19	1.68e-05	8.593	8.608
CREB1	Embryo	2.99e-29	6.13e-05	5.903	3.564
CREB1	Liver	1.48e-42	0.0216	7.017	2.924
CREB1	Lung	1.34e-22	0.00129	6.91	6.181
CREB1	MammaryGland	0.00233	0.0952	4.992	4.102
CREB1	Prostate	6.02e-35	4.22e-05	6.102	5.134
CTCF	Adipose	2.47e-110	7.37e-06	7.689	1.547
CTCF	Blood	6.39e-116	5.25e-35	3.533	1.437
CTCF	Bone	2.6e-120	1.7e-24	6.482	1.997
CTCF	BoneMarrow	1.64e-114	3.41e-17	4.477	1.051
CTCF	Brain	2.87e-121	1.08e-32	5.124	1.36
CTCF	Breast	7.61e-94	6.42e-12	2.606	0.619
CTCF	Cerebellum	5.61e-125	5.52e-30	8.227	2.465
CTCF	Cervix	4.54e-120	6.82e-13	5.559	1.029
CTCF	Colon	7.95e-121	3.2e-37	4.866	1.59
CTCF	ConnectiveTissue	1.81e-113	1.28e-17	9.044	1.805
CTCF	Cordblood	2.24e-65	1.37e-20	5.772	2.909
CTCF	Embryo	1.99e-113	5.04e-31	3.684	1.305
CTCF	EmbryonicKidney	5.89e-114	0.286	4.781	-0.713
CTCF	Esophagus	9.21e-115	4.19e-12	8.338	1.743
CTCF	Eye	6.77e-110	2.59e-18	5.879	1.39
CTCF	FetalLung	3.91e-107	2.05e-07	8.626	1.558
CTCF	Foreskin	1.85e-109	1.92e-36	8.471	3.43
CTCF	Gingiva	5.29e-107	1.41e-06	7.755	1.14
CTCF	Heart	1.04e-118	1.47e-22	8.085	2.303
CTCF	Kidney	1.93e-129	8.95e-21	5.804	1.454
CTCFL	BoneMarrow	1.94e-64	1.14e-18	3.509	1.504
CTCFL	Breast	1.92e-63	4.66e-18	3.375	1.374
CTCFL	Colon	7.22e-28	9.29e-15	5.465	3.8
CTCF	Liver	7.14e-119	1.18e-10	4.319	0.782
CTCF	Lung	1.16e-107	3.74e-18	4.41	0.958
CTCF	MammaryGland	5.53e-109	6.78e-19	5.297	1.058
CTCF	Pancreas	3.72e-115	6.85e-11	6.018	1.217
CTCF	PancreaticIslet	1.2e-101	0.00793	7.799	0.604
CTCF	Prostate	7.85e-126	3.66e-20	6.378	1.625
CTCF	PulmonaryArtery	7.51e-118	4.68e-12	8.398	1.459
CTCF	Retina	1.58e-99	3.47e-12	6.777	1.224
CTCF	SigmoidColon	6.39e-88	0.0133	6.648	1.643
CTCF	SkeletalMuscle	2.42e-119	1.14e-27	6.873	2.299
CTCF	Skin	1.16e-107	9.23e-23	4.652	1.351
CTCF	SpinalCord	7.92e-114	5.07e-14	8.818	1.289
CTCF	Spleen	8.49e-108	2.39e-12	7.449	1.26
CTCF	Stomach	1.37e-78	1.72e-06	5.85	1.092
CTCF	UmbilicalVein	1.1e-122	1.54e-23	5.587	1.077
CUX1	Blood	1.85e-20	0.00155	8.174	7.47
CUX1	BoneMarrow	3.85e-49	0.318	6.3	2.301
CUX1	Breast	2.33e-59	0.00489	6.127	3.933
DUX4	Muscle	1.16e-34	0.559	0.416	0.205
E2F1	Blood	1.26e-38	4.1e-11	6.64	5.452
E2F1	BoneMarrow	1.94e-25	0.00765	7.562	3.814
E2F1	Breast	6.05e-72	1.55e-08	4.819	1.992
E2F1	Cervix	3.62e-42	0.0139	5.552	0.702
E2F1	MammaryGland	1.02e-38	2.28e-05	5.807	2.202
E2F1	Prostate	1.14e-70	1.62e-11	4.49	2.202
E2F1	UmbilicalCord	5.87e-25	0.00126	6.5	2.657
E2F3	Colon	4.39e-56	5.49e-18	7.241	6.58
E2F4	Adipose	2.55e-23	1	6.635	-0.029
E2F4	Blood	7.35e-29	5.34e-09	7.822	6.196
E2F4	BoneMarrow	1.82e-42	1.11e-10	7.838	4.521
E2F4	Breast	2.71e-60	1.1e-07	5.777	2.266
E2F4	Cervix	3.14e-33	0.127	7.581	2.25
E2F6	BoneMarrow	1.85e-126	1.58e-08	5.353	1.754
E2F6	Cervix	4.05e-41	0.00196	7.485	3.188
E2F6	Embryo	3.52e-124	1.72e-21	3.451	2.031
E2F6	Lung	6.29e-67	1.77e-07	6.396	2.738
E2F7	Colon	1.01e-07	0.116	6.036	3.359
E2F7	Lung	1.37e-07	0.14	6.185	2.094
EBF1	Adipose	2.23e-28	0.443	6.144	1.81
EBF1	Blood	1.62e-271	8.8e-85	5.386	4.893
EGR1	Blood	3.2e-137	8.46e-44	5.983	4.89
EGR1	BoneMarrow	9.50999999999999e-234	1.42e-09	4.243	1.241
EGR1	Breast	1.89e-77	1.56e-09	6.411	3.7
