Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1684509654.683	    15.611	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chrY_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
1	:	1684509654.679	    22.500	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr18_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
5	:	1684509670.300	     9.253	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr22_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
3	:	1684509654.681	    28.447	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr10_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
2	:	1684509654.680	    31.289	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr3_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
6	:	1684509677.184	    16.154	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr9_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
8	:	1684509683.132	    12.081	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr19_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
7	:	1684509679.560	    21.672	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr6_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
9	:	1684509685.971	    19.733	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr5_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
10	:	1684509693.342	    12.811	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr17_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
