Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1684506347.839	     0.000	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr18_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
2	:	1684506347.841	     0.004	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr3_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
3	:	1684506347.842	     0.006	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr10_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
4	:	1684506347.844	     0.005	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chrY_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
5	:	1684506347.846	     0.005	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr22_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
6	:	1684506347.848	     0.006	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr9_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
7	:	1684506347.850	     0.006	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr6_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
8	:	1684506347.853	     0.005	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr19_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
9	:	1684506347.854	     0.005	0	61	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr5_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
10	:	1684506347.856	     0.006	0	62	0	0	liftover_vcf /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_vcf/chr17_CWAS_SNPs_2023-05-15_phased.vcf.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/split_hg38_vcf /lus/grand/projects/TFXcan/imlab/data/liftover_files/hg19ToHg38.over.chain.gz /lus/grand/projects/TFXcan/imlab/data/baca_cwas/rejected_liftover_records /lus/grand/projects/TFXcan/imlab/data/hg_sequences/hg38/Homo_sapiens_assembly38.fasta
